?cls	?def	?xrefs
<https://www.tib.eu/digitrubber#DIGITRUBBER_000642>	"Polybutadiene [butadiene rubber BR] is a synthetic rubber. Polybutadiene rubber is a polymer formed from the polymerization of the monomer 1,3-butadiene. Polybutadiene has a high resistance to wear and is used especially in the manufacture of tires."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000440>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000014>	"A filler based on structured carbon which is present in larger fractions in sidewall than in tread compounds. Every CB grade has two major properties that determine its properties."@en	
<https://w3id.org/pmd/co/PMD_0000651>		
<https://w3id.org/pmd/co/PMD_0000893>		
<https://w3id.org/pmd/co/PMD_0000784>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000129>	"A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group."@en	
<https://w3id.org/pmd/co/PMD_0000542>		
<http://purl.obolibrary.org/obo/CHEBI_33342>	"A titanium group element atom that has formula Zr."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000537>	"A measurement protocol for reliably reproducing the viscosity measurement assay."@en	
<https://www.tib.eu/digitrubber#http://www.ontology-of-units-of-measure.org/resource/om-2/Temperature>	"Temperature is the extent to which an object is hot."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000632>	"A concentration of ethylidene norbornene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylidene norbornene."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000441>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000465>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000598>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000356>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000315>	"Trade name for a specific stearic acid"@en	
<https://w3id.org/pmd/co/PMD_0020108>		
<https://w3id.org/pmd/co/PMD_0050138>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000317>	"principal accelerator used in a vulcanizing system"@en	
<https://w3id.org/pmd/co/PMD_0050114>		
<http://purl.obolibrary.org/obo/CHEBI_33380>	"A lanthanoid atom that has formula Tm."	
<https://w3id.org/pmd/co/PMD_0000648>		
<https://w3id.org/pmd/co/PMD_0000539>		
<https://w3id.org/pmd/co/PMD_0000951>		
<https://w3id.org/pmd/co/PMD_0000600>		
<https://w3id.org/pmd/co/PMD_0000975>		
<https://w3id.org/pmd/co/PMD_0000624>		
<https://w3id.org/pmd/co/PMD_0000866>		
<http://purl.obolibrary.org/obo/CHEBI_48343>	"Compounds of structure RSSR'."@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000013>	"Solid particles added to compound to generate enforcement."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000244>	"In terms of digtal image procession: correction methods to compensate image errors caused by lense distorsion or perspective."@en	
<https://w3id.org/pmd/co/PMD_0050113>		
<https://w3id.org/pmd/co/PMD_0020068>		
<https://w3id.org/pmd/co/PMD_0020153>		
<https://w3id.org/pmd/co/PMD_0020044>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000276>	"The relative proportions of monomers that make up a particular chemical polymer (raw rubber)."@en	
<https://w3id.org/pmd/co/PMD_0000003>	"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified."@en	
<https://w3id.org/pmd/co/PMD_0050137>		
<http://purl.obolibrary.org/obo/CHEBI_27560>	"A boron group element atom that has formula B."	
<https://w3id.org/pmd/co/PMD_0000867>		
<http://purl.obolibrary.org/obo/CHEBI_28694>	"A copper group element atom that has formula Cu."	
<https://w3id.org/pmd/co/PMD_0000625>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000647>	"Known as nitrile butadiene rubber and acrylonitrile butadiene rubber, is a synthetic rubber derived from acrylonitrile (ACN) and butadiene."@en	
<http://purl.allotrope.org/ontologies/result#AFR_0000068>	"A spectrum is a data distribution function of a measured quantity in a spectroscopy against some experimental parameter. [Allotrope]"@en	
<http://purl.obolibrary.org/obo/CHEBI_33374>	"A lanthanoid atom that has formula Sm."	
<https://w3id.org/pmd/co/PMD_0000649>		
<https://w3id.org/pmd/co/PMD_0000952>		
<http://purl.obolibrary.org/obo/CHEBI_33390>	"An actinoid atom that has formula Cm."	
<http://purl.obolibrary.org/obo/CHEBI_33517>	"A zinc group element atom with a symbol Cn and atomic number 112. All its isotopes are intensely radioactive. Prior to its discovery, it had the placeholder name ununbium (in accordance with IUPAC recommendations). Following its discovery (in Darmstadt, 1996) and subsequent confirmation, the name copernicium was adopted in 2010."	
<https://w3id.org/pmd/co/PMD_0000976>		
<https://w3id.org/pmd/co/PMD_0000601>		
<http://purl.obolibrary.org/obo/CHEBI_194541>	"A p-block element atom with a symbol Og and atomic number 118."	
<https://w3id.org/pmd/co/PMD_0050112>		
<https://w3id.org/pmd/co/PMD_0020069>		
<https://w3id.org/pmd/co/PMD_0020045>		
<http://purl.obolibrary.org/obo/CHEBI_79056>	"Any compound that is used as an additive to increase the plasticity or fluidity of a substance, particularly but not exclusively to synthetic polymers."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000301>	"Trade name for a specific N600-carbon black"@en	
<http://purl.obolibrary.org/obo/OBI_0200175>	"A class discovery data transformation (sometimes called unsupervised classification) is a data transformation that has objective class discovery."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000605>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000476>	"Produkt der Vulkanisation einer Kautschukmischung"@de	
<https://w3id.org/pmd/co/PMD_0050136>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000123>	"The basic materials from which a finished product is made in the system under investigation. Constitutes an entity in the material cost and waste management cost group."@en	
<http://purl.obolibrary.org/obo/OBI_0200050>	"A dimensionality reduction is data partitioning which transforms each input m-dimensional vector (x_1, x_2, ..., x_m) into an output n-dimensional vector (y_1, y_2, ..., y_n), where n is smaller than m."@en	
<https://w3id.org/pmd/co/PMD_0000977>		
<https://w3id.org/pmd/co/PMD_0000626>		
<http://purl.allotrope.org/ontologies/result#AFR_0002036>	"A concentration (datum) is a quantification facet that quantifies a quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance. [Allotrope]"@en	
<https://w3id.org/pmd/co/PMD_0000868>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000577>	"der Anteil einer aufgebrachten Normalspannung, welcher 90° phasenverschoben gegenüber der Normaldehnung ist, geteilt durch die Dehnung"@de	
<https://w3id.org/pmd/co/PMD_0000517>		
<http://purl.obolibrary.org/obo/NCIT_C75762>	"A measure of the compactness of a substance, expressed as its mass per unit volume."@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000018>	"The lining of the inner wall of a tire which prevents air from escaping."@en	
<https://w3id.org/pmd/co/PMD_0000820>		
<http://purl.obolibrary.org/obo/IAO_0000109>	"A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device."@en	
<http://purl.obolibrary.org/obo/CHEBI_33393>	"An actinoid atom that has formula Es."	
<https://w3id.org/pmd/co/PMD_0000953>		
<https://w3id.org/pmd/co/PMD_0000602>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000552>	"Any device used to determine the dimension of an object."@en	
<https://w3id.org/pmd/co/PMD_0050135>		
<https://w3id.org/pmd/co/PMD_0050111>		
<https://w3id.org/pmd/co/PMD_0020155>		
<https://w3id.org/pmd/co/PMD_0020046>		
<https://w3id.org/pmd/co/PMD_0020131>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000187>	"A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities, usually manifested as energy loss (gain) with respect to the incident light."@en	
<http://purl.obolibrary.org/obo/IAO_0000225>	"The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<http://purl.obolibrary.org/obo/CHEBI_51422>	"Any organic substituent group, regardless of functional type, having two free valences at carbon atom(s)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000162>	"A machine that assembles all components and semi-finished products to produce a tire. Constitutes an entity sub-group of the machine entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000475>	"Anzahl von Vernetzungen in einem Vulkanisat je Volumen- oder Masseneinheit"@de	
<http://purl.obolibrary.org/obo/CHEBI_33361>		
<https://w3id.org/pmd/co/PMD_0000845>		
<https://w3id.org/pmd/co/PMD_0000978>		
<https://w3id.org/pmd/co/PMD_0000603>		
<https://w3id.org/pmd/co/PMD_0000869>		
<https://w3id.org/pmd/co/PMD_0000518>		
<https://w3id.org/pmd/co/PMD_0000627>		
<http://purl.obolibrary.org/obo/CHEBI_30452>	"A chalcogen that has formula Te."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000593>	"A measurement protocol for reliably reproducing the concentration measurement assay."@en	
<https://w3id.org/pmd/co/PMD_0000821>		
<http://purl.obolibrary.org/obo/OBI_0000023>	"A data set that is produced as the output of a class prediction data transformation and consists of a data set with assigned class labels."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000494>	"raw, compounded, vulcanized or partially vulcanized rubber rejected or generated as waste during product manufacture and found unsuitable for further use unless recycled"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000422>	"Produkt eines Mischungsvorganges"@de	
<http://purl.obolibrary.org/obo/IAO_0000309>	"A figure that expresses one or more propositions"@en	
<https://w3id.org/pmd/co/PMD_0050134>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000047>	"Industry 4.0 is the intelligent networking of machines and processes in the industrial environment, with the help of information and communication technology and thus digitization of the industrial production."@en	
<http://purl.obolibrary.org/obo/CHEBI_27998>	"A chromium group element atom that has formula W."	
<https://w3id.org/pmd/co/PMD_0020047>		
<https://w3id.org/pmd/co/PMD_0050110>		
<https://w3id.org/pmd/co/PMD_0020023>		
<http://purl.obolibrary.org/obo/OBI_0000700>	"A support vector machine is a data transformation with a class prediction objective based on the construction of a separating hyperplane that maximizes the margin between two data sets of vectors in n-dimensional space."	
<https://w3id.org/pmd/co/PMD_0020132>		
<http://purl.obolibrary.org/obo/OBI_0200051>	"A principal components analysis dimensionality reduction is a dimensionality reduction achieved by applying principal components analysis and by keeping low-order principal components and excluding higher-order ones."@en	
<https://w3id.org/pmd/co/PMD_0001999>		
<http://purl.obolibrary.org/obo/NCIT_C48834>	"The degree to which two or more quantities or events are associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others. The collelation can be described by mathematical functions  (often a linear function is used). It’s a common tool for describing simple relationships without making a statement about cause and effect."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000285>	"Substanz, aufgebaut aus Molekülen, die gekennzeichnet sind durch eine Vielzahl von einer oder mehreren Arten von Atomen oder Atom-Gruppierungen (konstitutive Einheiten), die wiederholt aneinandergereiht sind, in einer Menge, so dass ein gewünschtes Eigenschaftsbild erlangt wird, das sich durch die Addition oder die Entfernung einer oder mehrerer konstitutioneller Einheiten nicht wesentlich ändert"@de	
<https://w3id.org/pmd/co/PMD_0050049>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000331>	"combination of vulcanizing agent and, as required, accelerators, activators, retarders, etc., used to produce the desired vulcanization characteristics and vulcanizate properties"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000199>	"Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process."@en	
<http://purl.obolibrary.org/obo/NCIT_C63845>	"A chemical subunit that can undergo polymerization by bonding to other subunits."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000243>	"The information represented by one or more variables, which has to be predicted by data analysis in instrumental analytics"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000453>	"A piece of apparatus that is used to measure a physical quantity."@en	
<http://purl.obolibrary.org/obo/CHEBI_33372>	"A lanthanoid atom that has formula Nd."	
<https://w3id.org/pmd/co/PMD_0000559>		
<http://purl.obolibrary.org/obo/CHEBI_33655>	"A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character."	
<https://w3id.org/pmd/co/PMD_0000995>		
<https://w3id.org/pmd/co/PMD_0000644>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000382>		
<http://purl.obolibrary.org/obo/OBI_0000792>	"A data transformation which assesses how the results of a statistical analysis will generalize to an independent data set."@en	
<https://w3id.org/pmd/co/PMD_0000886>		
<https://w3id.org/pmd/co/PMD_0000511>		
<https://w3id.org/pmd/co/PMD_0000668>		
<https://w3id.org/pmd/co/PMD_0000777>		
<https://w3id.org/pmd/co/PMD_0000535>		
<https://w3id.org/pmd/co/PMD_0000971>		
<https://w3id.org/pmd/co/PMD_0000620>		
<https://w3id.org/pmd/co/PMD_0000862>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000096>	"Measured variable that indicates how high is the pressure during extrusion."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000378>	"A mechanical device designed to blend materials or an electronic device designed to blend signals."@en	
<https://w3id.org/pmd/co/PMD_0050133>		
<https://w3id.org/pmd/co/PMD_0020048>		
<https://w3id.org/pmd/co/PMD_0020133>		
<https://w3id.org/pmd/co/PMD_0020024>		
<https://w3id.org/pmd/co/PMD_0020000>		
<http://purl.obolibrary.org/obo/OBI_0001933>	"An information content entity that specifies a value within a classification scheme or on a quantitative scale."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000302>	"Mischungsbestandteil, welcher in geringen Mengen verwendet wird, um die Viskosität einer unvulkanisierten Kautschukmischung oder die Härte eines Vulkanisats zu verringern"@de	
<http://purl.obolibrary.org/obo/CHEBI_68452>	"Any monocyclic heteroarene consisting of a five-membered ring containing nitrogen. Azoles can also contain one or more other non-carbon atoms, such as nitrogen, sulfur or oxygen."@en	"Wikipedia:Azole"
<https://www.tib.eu/digitrubber#http://www.w3.org/ns/sosa/Sample>	"Feature which is intended to be representative of a FeatureOfInterest on which Observations may be made."@en	
<https://w3id.org/pmd/co/PMD_0050048>		
<http://purl.obolibrary.org/obo/CHEBI_38418>		
<http://purl.allotrope.org/ontologies/result#AFR_0000984>	"A datum that has non-negative integer values that is about the number of discrete things. [Allotrope]"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000294>	"Trade name for a specific EPDM rubber"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000006>	"Rubber polymer with styrene and butadiene as monomers. It is the major component of tread compounds."@en	
<https://w3id.org/pmd/co/PMD_0000512>		
<http://purl.obolibrary.org/obo/OBI_0000401>	"An environmental control function is a function that regulates a contained environment within specified parameter ranges. For example the control of light exposure, humidity and temperature."@en	
<https://w3id.org/pmd/co/PMD_0000621>		
<https://w3id.org/pmd/co/PMD_0000996>		
<https://w3id.org/pmd/co/PMD_0000536>		
<https://w3id.org/pmd/co/PMD_0000645>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000476>	"product of the vulcanization of a rubber compound"@en	
<https://w3id.org/pmd/co/PMD_0000972>		
<http://www.ontology-of-units-of-measure.org/resource/om-2/Power>	"Power is the time rate at which work is done. It is a derived quantity in the International System of Units. Power is energy divided by time."@en	
<https://w3id.org/pmd/co/PMD_0050047>		
<https://w3id.org/pmd/co/PMD_0020049>		
<https://w3id.org/pmd/co/PMD_0020025>		
<https://w3id.org/pmd/co/PMD_0050132>		
<https://w3id.org/pmd/co/PMD_0020001>		
<http://purl.obolibrary.org/obo/STATO_0000047>	"a count is a data item denoted by an integer and represented the number of instances or occurences of an entity"@en	
<https://w3id.org/pmd/co/PMD_0020134>		
<http://purl.obolibrary.org/obo/PATO_0001241>	"A quality which inheres in a continuant."@en	
<http://edamontology.org/data_2140>	"The concentration of a chemical compound. (edam defined)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000321>	"An organic disulfide resulting from the formal oxidative coupling of the thiol groups of two molecules of 1,3-benzothiazole-2-thiol. It is used as an accelerator in the rubber industry."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000303>	"Prozessöl aus Kohlenwasserstoffen, das größtenteils oder vollständig aus Alkanen besteht"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000171>	"An object shaped for repair and installation purposes, with the help of which something is processed or manufactured.Constitutes an entity sub-group of the wear parts entity."@en	
<http://purl.obolibrary.org/obo/CHEBI_33675>	"A main group molecular entity that contains one or more atoms of a p-block element."@en	
<https://w3id.org/pmd/co/PMD_0000779>		
<https://w3id.org/pmd/co/PMD_0000537>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000586>	"press having two or more super-imposed heated plates between which moulds are pressed"@en	
<https://w3id.org/pmd/co/PMD_0000973>		
<https://w3id.org/pmd/co/PMD_0000622>		
<https://w3id.org/pmd/co/PMD_0000864>		
<https://w3id.org/pmd/co/PMD_0000997>		
<https://w3id.org/pmd/co/PMD_0000646>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000384>		
<https://w3id.org/pmd/co/PMD_0000513>		
<https://w3id.org/pmd/co/PMD_0000888>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000424>	"Maschine, die mit Hilfe einer Schnecke oder einer hydraulischen Presse kontinuierlich ein Material formt, indem dieses durch eine oder mehrere Schablonen gepresst wird"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000292>	"Terpolymer aus Ethylen, Propylen und einem Dien mit dem restlichen ungesättigten Anteil des polymerisierten Diens in der Seitenkette"@de	
<http://purl.obolibrary.org/obo/OBI_0200033>	"is a data transformation :  leave-one-out cross-validation (LOOCV) involves using a single observation from the original sample as the validation data, and the remaining observations as the training data. This is repeated such that each observation in the sample is used once as the validation data"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000317>	"in einem Vulkanisationssystem verwendeter Hauptbeschleuniger"@de	
<http://purl.obolibrary.org/obo/CHEBI_33330>	"A rare earth metal atom that has formula Sc."	
<https://w3id.org/pmd/co/PMD_0050046>		
<https://w3id.org/pmd/co/PMD_0020135>		
<https://w3id.org/pmd/co/PMD_0020026>		
<https://w3id.org/pmd/co/PMD_0050131>		
<https://w3id.org/pmd/co/PMD_0020002>		
<http://purl.obolibrary.org/obo/NCIT_C52095>	"Data about data; information that describes another set of data."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000435>	"Unterschied zwischen den Dimensionen des Profilquerschnittes eines Extrudats und den korrespondierenden Dimensionen des Auslaufkanals, welcher üblicherweise als prozentuelle Zunahme der Fläche des Querschnittes ausgedrückt wird"@de	
<http://purl.obolibrary.org/obo/CHEBI_50795>	"A nanometre sized object."	
<http://purl.obolibrary.org/obo/OBI_0000379>	"A mechanical function is a function that is realised via mechanical work (through an certain amount of energy transferred by some force)."@en	
<https://w3id.org/pmd/co/PMD_0000889>		
<https://w3id.org/pmd/co/PMD_0000538>		
<https://w3id.org/pmd/co/PMD_0000647>		
<http://purl.obolibrary.org/obo/BFO_0000004>	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000336>	"A recipe used in the preparation of a rubber compound."@en	
<https://w3id.org/pmd/co/PMD_0000974>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000383>		
<https://w3id.org/pmd/co/PMD_0000865>		
<https://w3id.org/pmd/co/PMD_0050020>		
<https://w3id.org/pmd/co/PMD_0000998>		
<https://w3id.org/pmd/co/PMD_0000623>		
<https://w3id.org/pmd/co/PMD_0000950>		
<https://w3id.org/pmd/co/PMD_0050069>		
<https://w3id.org/pmd/co/PMD_0020003>		
<https://w3id.org/pmd/co/PMD_0050045>		
<http://purl.obolibrary.org/obo/CHEBI_33314>	"A noble gas atom that has formula Rn."	
<https://w3id.org/pmd/co/PMD_0050130>		
<https://w3id.org/pmd/co/PMD_0020112>		
<https://w3id.org/pmd/co/PMD_0000879>	"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000576>	"der Anteil einer aufgebrachten Schubspannung, welche 90° phasenverschoben gegenüber der Scherdeformation ist, geteilt durch die Dehnung"@de	
<http://purl.obolibrary.org/obo/CHEBI_33579>	"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000645>	"EPDM rubber (ethylene propylene diene monomer rubber) is a type of synthetic rubber that is composed of ethylidene norbornene (ENB), dicyclopentadiene (DCPD), and vinyl norbornene (VNB)."@en	
<http://purl.obolibrary.org/obo/CHEBI_33396>	"An actinoid atom that has formula No."	
<https://w3id.org/pmd/co/PMD_0000959>		
<https://w3id.org/pmd/co/PMD_0000608>		
<http://purl.obolibrary.org/obo/CHEBI_194531>	"A carbon group element atom with a symbol Fl and atomic number 114."	
<https://w3id.org/pmd/co/PMD_0000911>		
<https://w3id.org/pmd/co/PMD_0000802>		
<https://w3id.org/pmd/co/PMD_0000935>		
<https://w3id.org/pmd/co/PMD_0000826>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000112>	"A cost group for all cost values occuring from entity sub-groups in the material cost group and the associated factors"@en	
<https://w3id.org/pmd/co/PMD_0050021>		
<https://w3id.org/pmd/co/PMD_0020084>		
<https://w3id.org/pmd/co/PMD_0020060>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000022>	"\"The camera coordinate system has its origin at the perspective centre of the image. It is further defined by reference features fixed in the camera (fiducial marks, réseau, sensor system). It can therefore be reconstructed from the image and related to an image measuring device\" (Luhmann et al. 2020: 278)"@en	
<http://purl.obolibrary.org/obo/OBI_0000946>	"a function to remove viable organisms from an input material"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000305>	"Öl auf Basis von Kohlenwasserstoffen, welches aus Erdöl oder anderen Quellen stammt und als Extender oder Verarbeitungshilfsmittel eingesetzt wird"@de	
<https://w3id.org/pmd/co/PMD_0050068>		
<http://purl.obolibrary.org/obo/NCIT_C19579>	"Costs that can be identified with a particular project or program."@en	
<https://w3id.org/pmd/co/PMD_0050044>		
<http://purl.obolibrary.org/obo/CHEBI_133602>	"Any form of carbon black which has a particle size of less than 100 nm in each dimension."@en	"PMCID:PMC3190904 PMID:24078381 PMID:25184212 PMID:22753103 PMID:25833640 PMID:26914170 PMID:24283474 PMID:27534448 PMID:21525001 PMID:25966413 PMID:26066782 PMID:26551751 PMID:25071917 PMID:25056782 PMID:27460290 PMID:25451823"
<https://www.tib.eu/digitrubber#DIGITRUBBER_000373>	"the molecular mass of a rubber, in either the raw or the mixed state, by the action of mechanical work (shear) and atmospheric oxygen, sometimes assisted by peptizers and heat"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000012>	"Fraction od rubber compound formulations are not given based on %, so that the sum of all components will be 100%."@en	
<http://purl.obolibrary.org/obo/OBI_0002989>	"A person or organization that provides material supplies to other people or organizations."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000461>	"An extruder zone equipped with pins that enhance mixing and shearing of the material during extrusion."@en	
<http://purl.obolibrary.org/obo/CHEBI_33369>	"A lanthanoid atom that has formula Ce."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000563>	"The oil absorption number of a carbon black is related to the processing and vulcanizate properties of rubber compounds containing the carbon black"@en	
<https://w3id.org/pmd/co/PMD_0000054>		
<http://purl.obolibrary.org/obo/CHEBI_33387>	"An actinoid atom that has formula Np."	
<https://w3id.org/pmd/co/PMD_0000827>		
<http://purl.obolibrary.org/obo/CHEBI_28112>	"Chemical element (nickel group element atom) with atomic number 28."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000480>	"Zustand eines Vulkanisats während des Vulkanisationsverlaufs, gemessen an dessen Struktur oder dessen Eigenschaften"@de	
<https://w3id.org/pmd/co/PMD_0000803>		
<https://w3id.org/pmd/co/PMD_0000936>		
<http://purl.obolibrary.org/obo/CHEBI_30440>	"A metallic element first identified and named from the brilliant green line in its flame spectrum (from Greek thetaalphalambdalambdaomicronsigma, a green shoot)."	
<https://w3id.org/pmd/co/PMD_0020085>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000092>	"Control variable for setting the temperature of the feed roller."@en	
<https://w3id.org/pmd/co/PMD_0020061>		
<https://w3id.org/pmd/co/PMD_0050022>		
<https://w3id.org/pmd/co/PMD_0050067>		
<https://w3id.org/pmd/co/PMD_0050043>		
<https://w3id.org/pmd/co/PMD_0050152>		
<http://www.ontology-of-units-of-measure.org/resource/om-2/Pressure>	"Pressure is the force applied to or distributed over a surface. It is a derived quantity in the International System of Units. Pressure is force divided by area."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000579>	"Verhältnis des Verlustmoduls zum Speichermodul"@de	
<http://purl.obolibrary.org/obo/IAO_0000038>	"A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000325>	"Trade name for a specific tetrabenzylthiuramdisulfide"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000485>	"Art der Vulkanisation, bei der das Modul des Vulkanisats ein Maximum erreicht und dann über einen längeren Zeiraum bei der entsprechenden Vulkanisationstemperatur nahezu konstant bleibt"@de	
<https://w3id.org/pmd/co/PMD_0000055>		
<https://w3id.org/pmd/co/PMD_0000056>		
<https://w3id.org/pmd/co/PMD_0000937>		
<https://w3id.org/pmd/co/PMD_0000828>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000195>	"Fourier transform infrared involves the probing of matter with infrared radiation. It is based on periodic changes in dipole moments caused by molecular vibrations during the absorption of IR radiation and gives spectroscopic fingerprints."@en	
<http://purl.obolibrary.org/obo/CHEBI_36830>		
<http://purl.obolibrary.org/obo/OBI_0000047>	"Is a material entity that is created or changed during material processing."@en	
<https://w3id.org/pmd/co/PMD_0000913>		
<http://purl.obolibrary.org/obo/CHEBI_33285>	"A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms."@en	
<https://w3id.org/pmd/co/PMD_0020086>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000136>	"A person who monitors the quality of incoming and outgoing products or materials in the system under investigation. Constitutes an entity of the human ressource and the production cost group."@en	
<http://purl.obolibrary.org/obo/CHEBI_194537>	"A chalcogen atom with a symbol Lv and atomic number 116."	
<https://w3id.org/pmd/co/PMD_0020062>		
<https://w3id.org/pmd/co/PMD_0050023>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000318>	"Beschleuniger, der in niedrigen Konzentrationen zusammen mit dem Erstbeschleuniger eingesetzt wird, um Vernetzungsgeschwindigkeit und Vulkanisateigenschaften zu optimieren"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000589>	"An assay with the objective to produce information about the concentration of a specific substance in the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://purl.obolibrary.org/obo/BFO_0000024>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000164>	"A machine that combines a series of hard pressure rollers used to finish or smooth a sheet of rubber material. Constitutes an entity sub-group of the machine entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000296>	"Mischungsbestandteil, der im Wesentlichen aus mehr als 95 % elementaren Kohlenstoffs in der Form beinahe sphärischer Partikel mit maximalen Durchmessern kleiner als 1 μm besteht, im Allgemeinen zu Aggregaten koalesziert"@de	
<https://w3id.org/pmd/co/PMD_0050066>		
